,F001,F002,F003,F004,F005,F006,F007,F008,F009,F010,F011,F012,F013,F014,F015,F016,F017,F018,F019,F020,F021,F022,F023,F024,F025,F026,F027,F028,F029,F030,F031,F032,F033,F034,F035,F036,F037,F038,F039,F040,F041,F042,F043,F044,F045,F046,F047,F048,F049,F050,F051,F052,F053,F054,F055,F056,F057,F058,F059,F060,F061,F062,F063,F064,F065,F066,F067,F068,F069,F070,F071,F072,F073,F074,F075,F076,F077,F078,F079,F080,F081,F082,F083,F084,F085,F086,F087,F088,F089,F090,F091,F092,F093,F094,F095,F096,F097,F098,F099,F100,F101,F102,F103,F104,F105,F106,F107,F108,F109,F110,F111,F112,F113,F114,F115,F116,F117,F118,F119,F120,F121,F122,F123,F124,F125,F126,F127,F128,F129,F130,F131,F132,F133,F134,F135,F136,F137,F138,F139,F140,F141,F142,F143,F144,F145
4g6k_H,   0.00000,   0.00000,  42.00000,  38.20000,  65.00000,  59.10000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   1.00000,   0.90000,   0.00000,   0.00000,   0.00000,   0.00000,   5.00000,   4.50000,  12.00000,  10.90000,   1.00000,   0.90000,   1.00000,   0.90000,6522.00000,   0.00000,  47.00000,1921.00000, 629.00000,   0.00000,1115.00000, 750.00000,2061.00000,   0.38083,   0.36387,   0.46051,   0.30862,   0.26817,   0.45756,   0.09596,   0.47176,   0.35878,   0.44216,   0.18663,   0.12626,   0.28684,   0.59316,   0.14415,   0.23340,   0.64260,   0.40928,   0.36903,   0.22634,   0.27440,   0.29942,4967.98000,1416.53000,1630.02000, 541.58000,3337.96000, 874.95000,   3.00000,   2.00000,   1.00000,   5.00000,   0.00000,   4.00000,   3.00000,   6.00000,   0.00000,   0.00000,   3.00000,   6.00000,   0.00000,   1.00000,   6.00000,  11.00000,   6.00000,   2.00000,   1.00000,   4.00000,   2.00000,   2.00000,   2.00000,   1.00000,   2.00000,   2.00000,   0.00000,   3.00000,   1.00000,   4.00000,   7.00000,   0.00000,   1.00000,   3.00000,   0.00000,   5.00000,   2.00000,   4.00000,   2.00000,   3.00000,   0.02727,   0.01818,   0.00909,   0.04545,   0.00000,   0.03636,   0.02727,   0.05455,   0.00000,   0.00000,   0.02727,   0.05455,   0.00000,   0.00909,   0.05455,   0.10000,   0.05455,   0.01818,   0.00909,   0.03636,   0.01818,   0.01818,   0.01818,   0.00909,   0.01818,   0.01818,   0.00000,   0.02727,   0.00909,   0.03636,   0.06364,   0.00000,   0.00909,   0.02727,   0.00000,   0.04545,   0.01818,   0.03636,   0.01818,   0.02727
4g6j_H,   0.00000,   0.00000,  41.00000,  37.30000,  67.00000,  60.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   6.40000,  11.00000,  10.00000,   2.00000,   1.80000,   1.00000,   0.90000,6353.60000,   0.00000,   0.00000,1865.00000, 352.00000,   0.00000,1627.00000, 672.00000,1837.00000,   0.37981,   0.34685,   0.36159,   0.41026,   0.32913,   0.45909,   0.08996,   0.50855,   0.47627,   0.45957,   0.00000,   0.09426,   0.22371,   0.69449,   0.11593,   0.26150,   0.68061,   0.38356,   0.37415,   0.18129,   0.21636,   0.35344,4716.21000,1655.34000,1541.24000, 587.31000,3174.97000,1068.03000,   5.00000,   5.00000,   4.00000,   6.00000,   0.00000,   5.00000,   2.00000,   9.00000,   0.00000,   0.00000,   2.00000,   3.00000,   0.00000,   1.00000,   3.00000,   4.00000,   3.00000,   0.00000,   1.00000,   5.00000,   4.00000,   3.00000,   1.00000,   1.00000,   2.00000,   2.00000,   1.00000,   3.00000,   0.00000,   3.00000,   6.00000,   0.00000,   2.00000,   3.00000,   0.00000,   4.00000,   2.00000,   4.00000,   7.00000,   4.00000,   0.04545,   0.04545,   0.03636,   0.05455,   0.00000,   0.04545,   0.01818,   0.08182,   0.00000,   0.00000,   0.01818,   0.02727,   0.00000,   0.00909,   0.02727,   0.03636,   0.02727,   0.00000,   0.00909,   0.04545,   0.03636,   0.02727,   0.00909,   0.00909,   0.01818,   0.01818,   0.00909,   0.02727,   0.00000,   0.02727,   0.05455,   0.00000,   0.01818,   0.02727,   0.00000,   0.03636,   0.01818,   0.03636,   0.06364,   0.03636
4g6f_B,   2.00000,   1.60000,  49.00000,  38.30000,  85.00000,  66.40000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,   9.00000,   7.00000,  14.00000,  10.90000,   3.00000,   2.30000,   2.00000,   1.60000,7370.30000,   0.00000,  30.00000,2464.00000, 803.00000,   0.00000,1690.00000, 319.00000,2064.00000,   0.41654,   0.36406,   0.30632,   0.34566,   0.39009,   0.45604,   0.07129,   0.36902,   0.52563,   0.38008,   0.00000,   0.25552,   0.24111,   0.64692,   0.44847,   0.21105,   0.55445,   0.30512,   0.35798,   0.20506,   0.25909,   0.23056,4322.86000,1777.32000,2007.39000, 658.00000,3315.47000,1119.32000,   2.00000,   4.00000,   2.00000,   4.00000,   0.00000,   2.00000,   5.00000,  10.00000,   0.00000,   1.00000,   3.00000,   3.00000,   2.00000,   1.00000,   3.00000,   2.00000,   2.00000,   1.00000,   2.00000,   2.00000,   3.00000,   4.00000,   1.00000,   2.00000,   2.00000,   1.00000,   2.00000,   5.00000,   0.00000,   2.00000,   7.00000,   0.00000,   1.00000,   4.00000,   1.00000,   7.00000,   4.00000,   4.00000,   3.00000,   6.00000,   0.01818,   0.03636,   0.01818,   0.03636,   0.00000,   0.01818,   0.04545,   0.09091,   0.00000,   0.00909,   0.02727,   0.02727,   0.01818,   0.00909,   0.02727,   0.01818,   0.01818,   0.00909,   0.01818,   0.01818,   0.02727,   0.03636,   0.00909,   0.01818,   0.01818,   0.00909,   0.01818,   0.04545,   0.00000,   0.01818,   0.06364,   0.00000,   0.00909,   0.03636,   0.00909,   0.06364,   0.03636,   0.03636,   0.02727,   0.05455
4g6a_H,   0.00000,   0.00000,  49.00000,  42.60000,  79.00000,  68.70000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.70000,   2.00000,   1.70000,   0.00000,   0.00000,   0.00000,   0.00000,  11.00000,   9.60000,   8.00000,   7.00000,   3.00000,   2.60000,   1.00000,   0.90000,6453.70000,   0.00000,   0.00000,2115.00000, 494.00000,   0.00000,1627.00000, 605.00000,1614.00000,   0.37680,   0.29931,   0.16816,   0.37960,   0.37380,   0.44703,   0.08000,   0.42163,   0.58751,   0.35747,   0.00000,   0.12369,   0.34483,   0.55671,   0.13101,   0.23701,   0.59694,   0.40186,   0.41945,   0.12470,   0.26168,   0.32946,4757.36000,1493.74000,1023.10000, 505.25000,3734.25000, 988.49000,   0.00000,   3.00000,   3.00000,   4.00000,   0.00000,   3.00000,   3.00000,   4.00000,   0.00000,   0.00000,   5.00000,   4.00000,   0.00000,   0.00000,   3.00000,  10.00000,  13.00000,   0.00000,   2.00000,   2.00000,   2.00000,   1.00000,   1.00000,   0.00000,   2.00000,   2.00000,   0.00000,   4.00000,   0.00000,   6.00000,   6.00000,   0.00000,   1.00000,   1.00000,   0.00000,   4.00000,   5.00000,   3.00000,  10.00000,   2.00000,   0.00000,   0.02752,   0.02752,   0.03670,   0.00000,   0.02752,   0.02752,   0.03670,   0.00000,   0.00000,   0.04587,   0.03670,   0.00000,   0.00000,   0.02752,   0.09174,   0.11927,   0.00000,   0.01835,   0.01835,   0.01835,   0.00917,   0.00917,   0.00000,   0.01835,   0.01835,   0.00000,   0.03670,   0.00000,   0.05505,   0.05505,   0.00000,   0.00917,   0.00917,   0.00000,   0.03670,   0.04587,   0.02752,   0.09174,   0.01835
4g6a_C,   0.00000,   0.00000,  48.00000,  42.10000,  74.00000,  64.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.80000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,  10.00000,   8.80000,   6.00000,   5.30000,   4.00000,   3.50000,   1.00000,   0.90000,6497.30000,   0.00000,   0.00000,2125.00000, 269.00000,   0.00000,1503.00000,1120.00000,1482.00000,   0.37799,   0.28767,   0.16618,   0.37876,   0.37691,   0.46459,   0.08278,   0.42617,   0.50287,   0.34540,   0.00000,   0.12663,   0.34824,   0.56051,   0.13436,   0.23437,   0.58419,   0.40348,   0.42475,   0.12715,   0.26521,   0.22859,4614.48000,1626.00000, 918.50000, 515.85000,3695.98000,1110.15000,   0.00000,   3.00000,   3.00000,   4.00000,   0.00000,   3.00000,   3.00000,   4.00000,   0.00000,   0.00000,   5.00000,   3.00000,   0.00000,   0.00000,   3.00000,  10.00000,  13.00000,   0.00000,   2.00000,   1.00000,   2.00000,   1.00000,   1.00000,   0.00000,   2.00000,   3.00000,   0.00000,   4.00000,   0.00000,   6.00000,   6.00000,   1.00000,   1.00000,   1.00000,   0.00000,   4.00000,   5.00000,   3.00000,  10.00000,   2.00000,   0.00000,   0.02752,   0.02752,   0.03670,   0.00000,   0.02752,   0.02752,   0.03670,   0.00000,   0.00000,   0.04587,   0.02752,   0.00000,   0.00000,   0.02752,   0.09174,   0.11927,   0.00000,   0.01835,   0.00917,   0.01835,   0.00917,   0.00917,   0.00000,   0.01835,   0.02752,   0.00000,   0.03670,   0.00000,   0.05505,   0.05505,   0.00917,   0.00917,   0.00917,   0.00000,   0.03670,   0.04587,   0.02752,   0.09174,   0.01835
4g5z_H,   0.00000,   0.00000,  43.00000,  39.10000,  71.00000,  64.50000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.80000,   2.00000,   1.80000,   0.00000,   0.00000,   0.00000,   0.00000,   8.00000,   7.30000,  12.00000,  10.90000,   2.00000,   1.80000,   1.00000,   0.90000,6446.70000,   0.00000,   0.00000,2051.00000, 606.00000,   0.00000,1394.00000, 438.00000,1955.00000,   0.37605,   0.34997,   0.36330,   0.40312,   0.32373,   0.45457,   0.08608,   0.51037,   0.45806,   0.46226,   0.00000,   0.09659,   0.21705,   0.67780,   0.11591,   0.26430,   0.69277,   0.37380,   0.37566,   0.18682,   0.21893,   0.36535,4617.96000,1733.75000,1490.07000, 657.63000,3127.89000,1076.12000,   5.00000,   5.00000,   4.00000,   6.00000,   0.00000,   5.00000,   2.00000,   8.00000,   0.00000,   0.00000,   1.00000,   3.00000,   0.00000,   1.00000,   3.00000,   4.00000,   3.00000,   0.00000,   1.00000,   5.00000,   4.00000,   3.00000,   1.00000,   1.00000,   2.00000,   2.00000,   1.00000,   4.00000,   0.00000,   3.00000,   7.00000,   0.00000,   2.00000,   3.00000,   0.00000,   4.00000,   2.00000,   4.00000,   7.00000,   4.00000,   0.04545,   0.04545,   0.03636,   0.05455,   0.00000,   0.04545,   0.01818,   0.07273,   0.00000,   0.00000,   0.00909,   0.02727,   0.00000,   0.00909,   0.02727,   0.03636,   0.02727,   0.00000,   0.00909,   0.04545,   0.03636,   0.02727,   0.00909,   0.00909,   0.01818,   0.01818,   0.00909,   0.03636,   0.00000,   0.02727,   0.06364,   0.00000,   0.01818,   0.02727,   0.00000,   0.03636,   0.01818,   0.03636,   0.06364,   0.03636
4fze_H,   2.00000,   1.60000,  46.00000,  37.70000,  86.00000,  70.50000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.60000,   0.00000,   0.00000,   0.00000,   0.00000,  13.00000,  10.70000,  11.00000,   9.00000,   7.00000,   5.70000,   2.00000,   1.60000,6708.80000, 378.00000,  67.00000,1749.00000, 340.00000,   0.00000,1732.00000, 408.00000,2035.00000,   0.40288,   0.30669,   0.24136,   0.47111,   0.34914,   0.45750,   0.07600,   0.49231,   0.44276,   0.37212,   0.59054,   0.32558,   0.35880,   0.53733,   0.10250,   0.15626,   0.71059,   0.36622,   0.36123,   0.18696,   0.20799,   0.22099,4785.60000,1676.41000,1228.92000, 728.35000,3556.68000, 948.06000,   1.00000,   2.00000,   1.00000,   4.00000,   0.00000,   6.00000,   2.00000,   7.00000,   1.00000,   1.00000,   4.00000,   6.00000,   0.00000,   0.00000,   2.00000,   5.00000,   7.00000,   0.00000,   1.00000,   1.00000,   9.00000,   1.00000,   1.00000,   0.00000,   2.00000,   3.00000,   0.00000,   5.00000,   0.00000,   3.00000,   4.00000,   0.00000,   1.00000,   3.00000,   0.00000,   5.00000,   5.00000,   3.00000,   6.00000,   8.00000,   0.00909,   0.01818,   0.00909,   0.03636,   0.00000,   0.05455,   0.01818,   0.06364,   0.00909,   0.00909,   0.03636,   0.05455,   0.00000,   0.00000,   0.01818,   0.04545,   0.06364,   0.00000,   0.00909,   0.00909,   0.08182,   0.00909,   0.00909,   0.00000,   0.01818,   0.02727,   0.00000,   0.04545,   0.00000,   0.02727,   0.03636,   0.00000,   0.00909,   0.02727,   0.00000,   0.04545,   0.04545,   0.02727,   0.05455,   0.07273
4fqq_B,   0.00000,   0.00000,  53.00000,  41.10000,  86.00000,  66.70000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,  12.00000,   9.30000,  10.00000,   7.80000,   2.00000,   1.60000,   2.00000,   1.60000,7251.70000,   0.00000,   0.00000,2925.00000, 157.00000,   0.00000,1867.00000, 387.00000,1914.00000,   0.39864,   0.37427,   0.44505,   0.47330,   0.33195,   0.40751,   0.07497,   0.39933,   0.35847,   0.42814,   0.00000,   0.10839,   0.35147,   0.59328,   0.00000,   0.09025,   0.59454,   0.40008,   0.31289,   0.14476,   0.17109,   0.22250,4637.31000,1601.25000,1693.96000, 507.02000,3943.35000,1094.23000,   2.00000,   2.00000,   2.00000,   3.00000,   0.00000,   4.00000,   2.00000,   7.00000,   0.00000,   0.00000,   4.00000,   7.00000,   0.00000,   0.00000,   5.00000,  11.00000,   6.00000,   0.00000,   0.00000,   1.00000,   2.00000,   2.00000,   1.00000,   0.00000,   2.00000,   3.00000,   1.00000,   4.00000,   0.00000,   5.00000,   4.00000,   0.00000,   0.00000,   1.00000,   0.00000,   4.00000,   6.00000,   4.00000,   8.00000,   7.00000,   0.01818,   0.01818,   0.01818,   0.02727,   0.00000,   0.03636,   0.01818,   0.06364,   0.00000,   0.00000,   0.03636,   0.06364,   0.00000,   0.00000,   0.04545,   0.10000,   0.05455,   0.00000,   0.00000,   0.00909,   0.01818,   0.01818,   0.00909,   0.00000,   0.01818,   0.02727,   0.00909,   0.03636,   0.00000,   0.04545,   0.03636,   0.00000,   0.00000,   0.00909,   0.00000,   0.03636,   0.05455,   0.03636,   0.07273,   0.06364
4fql_H,   0.00000,   0.00000,  48.00000,  38.70000,  79.00000,  63.70000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   2.00000,   1.60000,   0.00000,   0.00000,   0.00000,   0.00000,  10.00000,   8.10000,  11.00000,   8.90000,   2.00000,   1.60000,   1.00000,   0.80000,6544.40000,   0.00000,   0.00000,2167.00000, 562.00000,   0.00000,1058.00000, 607.00000,2151.00000,   0.37695,   0.34772,   0.25200,   0.38089,   0.37192,   0.37623,   0.07670,   0.41301,   0.52107,   0.40239,   0.11723,   0.14748,   0.24143,   0.55219,   0.29861,   0.25967,   0.65489,   0.36732,   0.25076,   0.18320,   0.15925,   0.23211,4539.96000,1817.30000,1521.61000, 753.30000,3018.36000,1064.00000,   2.00000,   5.00000,   2.00000,   4.00000,   0.00000,   4.00000,   5.00000,   8.00000,   0.00000,   0.00000,   3.00000,   3.00000,   1.00000,   1.00000,   2.00000,   4.00000,   2.00000,   0.00000,   0.00000,   2.00000,   6.00000,   2.00000,   2.00000,   2.00000,   2.00000,   2.00000,   1.00000,   6.00000,   1.00000,   3.00000,   6.00000,   1.00000,   3.00000,   3.00000,   0.00000,   6.00000,   3.00000,   3.00000,   5.00000,   5.00000,   0.01818,   0.04545,   0.01818,   0.03636,   0.00000,   0.03636,   0.04545,   0.07273,   0.00000,   0.00000,   0.02727,   0.02727,   0.00909,   0.00909,   0.01818,   0.03636,   0.01818,   0.00000,   0.00000,   0.01818,   0.05455,   0.01818,   0.01818,   0.01818,   0.01818,   0.01818,   0.00909,   0.05455,   0.00909,   0.02727,   0.05455,   0.00909,   0.02727,   0.02727,   0.00000,   0.05455,   0.02727,   0.02727,   0.04545,   0.04545
4fqj_H,   2.00000,   1.60000,  47.00000,  38.50000,  73.00000,  59.80000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   2.00000,   1.60000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   5.70000,   8.00000,   6.60000,   4.00000,   3.30000,   1.00000,   0.80000,6616.30000,   0.00000,  58.00000,1902.00000, 840.00000,   0.00000,1002.00000, 722.00000,2095.00000,   0.41497,   0.39801,   0.26555,   0.35967,   0.00000,   0.38164,   0.07633,   0.51136,   0.38631,   0.47500,   0.00000,   0.16633,   0.42937,   0.53244,   0.12800,   0.15883,   0.64140,   0.34029,   0.32470,   0.17047,   0.27063,   0.24098,5121.34000,1646.20000,1427.81000, 586.62000,3693.54000,1059.58000,   2.00000,   4.00000,   0.00000,   5.00000,   0.00000,   5.00000,   3.00000,   7.00000,   0.00000,   1.00000,   3.00000,   5.00000,   0.00000,   0.00000,   3.00000,   5.00000,   5.00000,   0.00000,   4.00000,   2.00000,   6.00000,   2.00000,   0.00000,   1.00000,   2.00000,   3.00000,   1.00000,   4.00000,   0.00000,   2.00000,   2.00000,   0.00000,   3.00000,   1.00000,   0.00000,   5.00000,   7.00000,   4.00000,   5.00000,   8.00000,   0.01818,   0.03636,   0.00000,   0.04545,   0.00000,   0.04545,   0.02727,   0.06364,   0.00000,   0.00909,   0.02727,   0.04545,   0.00000,   0.00000,   0.02727,   0.04545,   0.04545,   0.00000,   0.03636,   0.01818,   0.05455,   0.01818,   0.00000,   0.00909,   0.01818,   0.02727,   0.00909,   0.03636,   0.00000,   0.01818,   0.01818,   0.00000,   0.02727,   0.00909,   0.00000,   0.04545,   0.06364,   0.03636,   0.04545,   0.07273
4fqi_H,   2.00000,   1.70000,  46.00000,  39.00000,  73.00000,  61.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   2.00000,   1.70000,   0.00000,   0.00000,   0.00000,   0.00000,   5.00000,   4.20000,   9.00000,   7.60000,   3.00000,   2.50000,   2.00000,   1.70000,6183.20000,   0.00000,  51.00000,1815.00000, 586.00000,   0.00000,1375.00000, 787.00000,1568.00000,   0.36191,   0.31536,   0.23728,   0.30945,   0.32028,   0.39226,   0.07637,   0.53465,   0.50397,   0.42826,   0.19076,   0.17201,   0.52638,   0.53234,   0.10949,   0.35775,   0.70408,   0.31455,   0.33092,   0.18505,   0.30980,   0.25269,4351.42000,1716.58000,1356.79000, 636.57000,2994.62000,1080.01000,   3.00000,   1.00000,   2.00000,   4.00000,   0.00000,   6.00000,   2.00000,   8.00000,   0.00000,   1.00000,   2.00000,   5.00000,   0.00000,   2.00000,   2.00000,   7.00000,   5.00000,   0.00000,   1.00000,   2.00000,   6.00000,   2.00000,   2.00000,   0.00000,   2.00000,   2.00000,   1.00000,   5.00000,   1.00000,   4.00000,   1.00000,   0.00000,   2.00000,   2.00000,   0.00000,   6.00000,   4.00000,   3.00000,   6.00000,   8.00000,   0.02727,   0.00909,   0.01818,   0.03636,   0.00000,   0.05455,   0.01818,   0.07273,   0.00000,   0.00909,   0.01818,   0.04545,   0.00000,   0.01818,   0.01818,   0.06364,   0.04545,   0.00000,   0.00909,   0.01818,   0.05455,   0.01818,   0.01818,   0.00000,   0.01818,   0.01818,   0.00909,   0.04545,   0.00909,   0.03636,   0.00909,   0.00000,   0.01818,   0.01818,   0.00000,   0.05455,   0.03636,   0.02727,   0.05455,   0.07273
4fqh_H,   4.00000,   3.40000,  46.00000,  39.30000,  77.00000,  65.80000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.90000,   2.00000,   1.70000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   6.00000,  10.00000,   8.50000,   3.00000,   2.60000,   2.00000,   1.70000,6042.50000,   0.00000,  56.00000,1856.00000, 540.00000,   0.00000,1621.00000, 562.00000,1410.00000,   0.35903,   0.33354,   0.24462,   0.30503,   0.34846,   0.38985,   0.07689,   0.47025,   0.49802,   0.45660,   0.18707,   0.18367,   0.52418,   0.53281,   0.10978,   0.39448,   0.70331,   0.33632,   0.33834,   0.18344,   0.32307,   0.27714,4403.07000,1648.43000,1520.32000, 585.87000,2882.76000,1062.56000,   3.00000,   1.00000,   3.00000,   4.00000,   0.00000,   5.00000,   2.00000,   8.00000,   0.00000,   2.00000,   2.00000,   5.00000,   0.00000,   2.00000,   2.00000,   7.00000,   5.00000,   0.00000,   1.00000,   2.00000,   6.00000,   2.00000,   1.00000,   0.00000,   2.00000,   2.00000,   1.00000,   5.00000,   1.00000,   3.00000,   1.00000,   0.00000,   2.00000,   2.00000,   0.00000,   6.00000,   4.00000,   3.00000,   6.00000,   8.00000,   0.02752,   0.00917,   0.02752,   0.03670,   0.00000,   0.04587,   0.01835,   0.07339,   0.00000,   0.01835,   0.01835,   0.04587,   0.00000,   0.01835,   0.01835,   0.06422,   0.04587,   0.00000,   0.00917,   0.01835,   0.05505,   0.01835,   0.00917,   0.00000,   0.01835,   0.01835,   0.00917,   0.04587,   0.00917,   0.02752,   0.00917,   0.00000,   0.01835,   0.01835,   0.00000,   0.05505,   0.03670,   0.02752,   0.05505,   0.07339
4fqh_A,   2.00000,   1.70000,  46.00000,  39.00000,  75.00000,  63.60000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   2.00000,   1.70000,   0.00000,   0.00000,   0.00000,   0.00000,   7.00000,   5.90000,  10.00000,   8.50000,   3.00000,   2.50000,   2.00000,   1.70000,6165.50000,   0.00000,  57.00000,1864.00000, 677.00000,   0.00000,1480.00000, 529.00000,1558.00000,   0.36922,   0.32433,   0.24396,   0.30312,   0.36245,   0.38302,   0.07426,   0.53870,   0.49911,   0.44794,   0.18587,   0.19142,   0.52726,   0.53749,   0.11163,   0.39317,   0.69449,   0.32651,   0.33894,   0.18301,   0.32137,   0.24540,4602.13000,1594.27000,1462.26000, 585.58000,3139.86000,1008.69000,   3.00000,   1.00000,   4.00000,   4.00000,   0.00000,   6.00000,   2.00000,   8.00000,   0.00000,   2.00000,   2.00000,   5.00000,   0.00000,   2.00000,   2.00000,   7.00000,   5.00000,   0.00000,   1.00000,   2.00000,   6.00000,   2.00000,   0.00000,   0.00000,   2.00000,   2.00000,   1.00000,   5.00000,   1.00000,   3.00000,   1.00000,   0.00000,   2.00000,   2.00000,   0.00000,   6.00000,   4.00000,   3.00000,   6.00000,   8.00000,   0.02727,   0.00909,   0.03636,   0.03636,   0.00000,   0.05455,   0.01818,   0.07273,   0.00000,   0.01818,   0.01818,   0.04545,   0.00000,   0.01818,   0.01818,   0.06364,   0.04545,   0.00000,   0.00909,   0.01818,   0.05455,   0.01818,   0.00000,   0.00000,   0.01818,   0.01818,   0.00909,   0.04545,   0.00909,   0.02727,   0.00909,   0.00000,   0.01818,   0.01818,   0.00000,   0.05455,   0.03636,   0.02727,   0.05455,   0.07273
4fqc_H,   0.00000,   0.00000,  52.00000,  40.30000,  87.00000,  67.40000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   1.00000,   0.80000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,  13.00000,  10.10000,  11.00000,   8.50000,   3.00000,   2.30000,   2.00000,   1.60000,7632.70000,   0.00000,   0.00000,3096.00000, 628.00000,   0.00000,1605.00000, 706.00000,1600.00000,   0.40058,   0.41697,   0.48625,   0.45825,   0.39970,   0.50192,   0.07374,   0.46366,   0.34299,   0.41655,   0.36652,   0.11513,   0.31295,   0.57362,   0.33910,   0.00000,   0.77471,   0.35771,   0.36078,   0.14817,   0.15005,   0.19117,4874.93000,1586.01000,1973.30000, 516.47000,3901.64000,1069.54000,   3.00000,   4.00000,   3.00000,   5.00000,   0.00000,   3.00000,   2.00000,   7.00000,   1.00000,   0.00000,   4.00000,   6.00000,   1.00000,   0.00000,   4.00000,   8.00000,   5.00000,   0.00000,   0.00000,   0.00000,   1.00000,   2.00000,   1.00000,   0.00000,   2.00000,   2.00000,   1.00000,   4.00000,   1.00000,   3.00000,   7.00000,   0.00000,   0.00000,   0.00000,   0.00000,  11.00000,   3.00000,   4.00000,   5.00000,   7.00000,   0.02727,   0.03636,   0.02727,   0.04545,   0.00000,   0.02727,   0.01818,   0.06364,   0.00909,   0.00000,   0.03636,   0.05455,   0.00909,   0.00000,   0.03636,   0.07273,   0.04545,   0.00000,   0.00000,   0.00000,   0.00909,   0.01818,   0.00909,   0.00000,   0.01818,   0.01818,   0.00909,   0.03636,   0.00909,   0.02727,   0.06364,   0.00000,   0.00000,   0.00000,   0.00000,   0.10000,   0.02727,   0.03636,   0.04545,   0.06364
4fq2_H,   0.00000,   0.00000,  52.00000,  40.30000,  85.00000,  65.90000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   0.00000,   2.00000,   1.60000,   1.00000,   0.80000,   0.00000,   0.00000,   0.00000,   0.00000,  12.00000,   9.30000,  13.00000,  10.10000,   0.00000,   0.00000,   2.00000,   1.60000,7510.30000,   0.00000, 102.00000,2796.00000, 813.00000,   0.00000,1296.00000, 755.00000,1747.00000,   0.41008,   0.37011,   0.28389,   0.51742,   0.48741,   0.45281,   0.07833,   0.44024,   0.38152,   0.39852,   0.00000,   0.10857,   0.34509,   0.61539,   0.19755,   0.00000,   0.65878,   0.36575,   0.30788,   0.16391,   0.18092,   0.22898,4627.52000,1848.93000,1761.19000, 484.23000,3866.32000,1364.70000,   3.00000,   5.00000,   4.00000,   3.00000,   0.00000,   3.00000,   3.00000,   6.00000,   0.00000,   0.00000,   5.00000,   4.00000,   0.00000,   0.00000,   5.00000,   9.00000,   3.00000,   0.00000,   2.00000,   2.00000,   2.00000,   2.00000,   1.00000,   2.00000,   2.00000,   3.00000,   1.00000,   3.00000,   0.00000,   4.00000,   3.00000,   1.00000,   1.00000,   0.00000,   0.00000,   5.00000,   7.00000,   4.00000,   4.00000,   7.00000,   0.02727,   0.04545,   0.03636,   0.02727,   0.00000,   0.02727,   0.02727,   0.05455,   0.00000,   0.00000,   0.04545,   0.03636,   0.00000,   0.00000,   0.04545,   0.08182,   0.02727,   0.00000,   0.01818,   0.01818,   0.01818,   0.01818,   0.00909,   0.01818,   0.01818,   0.02727,   0.00909,   0.02727,   0.00000,   0.03636,   0.02727,   0.00909,   0.00909,   0.00000,   0.00000,   0.04545,   0.06364,   0.03636,   0.03636,   0.06364
