pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
3mls	H	L	0	P	peptide	NA	rationally designed v3 mimotope	IMMUNE SYSTEM	04/18/10	Crystal structure of anti-HIV-1 V3 mAb 2557 Fab in complex with a HIV-1 gp120 V3 mimotope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Kong, X.-P.	2.5	X-RAY DIFFRACTION	0.274	0.216	False	False	IGHV5	IGLV3	Lambda	None	None	None
3mls	K	O	0	S	peptide	NA	rationally designed v3 mimotope	IMMUNE SYSTEM	04/18/10	Crystal structure of anti-HIV-1 V3 mAb 2557 Fab in complex with a HIV-1 gp120 V3 mimotope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Kong, X.-P.	2.5	X-RAY DIFFRACTION	0.274	0.216	False	False	IGHV5	IGLV3	Lambda	None	None	None
3mls	I	M	0	Q	peptide	NA	rationally designed v3 mimotope	IMMUNE SYSTEM	04/18/10	Crystal structure of anti-HIV-1 V3 mAb 2557 Fab in complex with a HIV-1 gp120 V3 mimotope	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Kong, X.-P.	2.5	X-RAY DIFFRACTION	0.274	0.216	False	False	IGHV5	IGLV3	Lambda	None	None	None
3zl4	H	L	0	NA	NA	NA	NA		01/28/13	Antibody structural organization: Role of kappa -  lambda chain  constant domain switch in catalytic functionality	HOMO SAPIENS	homo sapiens	homo sapiens		Chatziefthimiou, S.D., Ponomarenko, N.A., Kurkova, I.N., Smirnov, A.V., Smirnov, I.V., Lamzin, V.S., Gabibov, A.G., Wilmanns, M.	1.95	X-RAY DIFFRACTION	0.2546	0.2052	False	True	IGHV4	IGLV1	Lambda	None	None	None	None	None
5d6c	H	L	0	L	Hapten	57S	4-O-[2-(acetylamino)-2-deoxy-beta-D-glucopyranosyl]-5-O-phosphono-D-ribitol	IMMUNE SYSTEM	08/12/15	Structure of 4497 Fab bound to synthetic wall teichoic acid fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lupardus, P.J., Fong, R.	1.72	X-RAY DIFFRACTION	0.238	0.203	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
5d6c	B	A	0	B	Hapten	57S	4-O-[2-(acetylamino)-2-deoxy-beta-D-glucopyranosyl]-5-O-phosphono-D-ribitol	IMMUNE SYSTEM	08/12/15	Structure of 4497 Fab bound to synthetic wall teichoic acid fragment	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Lupardus, P.J., Fong, R.	1.72	X-RAY DIFFRACTION	0.238	0.203	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
3lev	H	L	0	A	protein	NA	rna polymerase sigma factor	IMMUNE SYSTEM	01/15/10	HIV-1 antibody 2F5 in complex with epitope scaffold ES2	THERMUS AQUATICUS; HOMO SAPIENS	homo sapiens	homo sapiens	thermus aquaticus	Ofek, G., Guenaga, F.J., Schief, W.R., Skinner, J., Baker, D., Wyatt, R., Kwong, P.D.	2.5	X-RAY DIFFRACTION	0.253	0.201	False	True	IGHV2	IGKV1	Kappa	6.00E-10	-12.8	SPR	NA	20876137
1jv5	B	A	0	NA	NA	NA	NA	Immune System, Sugar Binding Protein	08/28/01	Anti-blood group A Fv	HOMO SAPIENS	homo sapiens	homo sapiens		Thomas, R., Patenaude, S.I., MacKenzie, C.R., To, R., Hirama, T., Young, N.M., Evans, S.V.	2.2	X-RAY DIFFRACTION	0.223	0.183	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4rav	C	D	0	F	peptide	NA	huntingtin	IMMUNE SYSTEM/Apoptosis	09/11/14	Crystal structure of scFvC4 in complex with the first 17 AA of huntingtin	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	De Genst, E., Chirgadze, D.Y., Dobson, C.M.	2.5	X-RAY DIFFRACTION	0.226	0.180	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
4rav	A	B	0	E	peptide	NA	huntingtin	IMMUNE SYSTEM/Apoptosis	09/11/14	Crystal structure of scFvC4 in complex with the first 17 AA of huntingtin	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	De Genst, E., Chirgadze, D.Y., Dobson, C.M.	2.5	X-RAY DIFFRACTION	0.226	0.180	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
4pub	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/12/14	Crystal structure of Fab DX-2930	HOMO SAPIENS	homo sapiens	homo sapiens		Abendroth, J., Edwards, T.E., Nixon, A., Ladner, R.	1.75	X-RAY DIFFRACTION	0.214	0.172	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4tsa	H	L	0	A	protein	NA	lysozyme c	Immune System/hydrolase	06/18/14	Structure of a lysozyme FAb complex	HOMO SAPIENS; GALLUS GALLUS	homo sapiens	homo sapiens	gallus gallus	Wensley, B.	2.27	X-RAY DIFFRACTION	0.310	0.281	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
4tsc	H	L	0	A	protein	NA	lysozyme c	Immune system/Hydrolase	06/18/14	Structure of a lysozyme antibody complex	HOMO SAPIENS; GALLUS GALLUS	homo sapiens	homo sapiens	gallus gallus	Wensley, B.	1.92	X-RAY DIFFRACTION	0.232	0.209	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
4tsb	H	L	0	A	protein	NA	lysozyme c	Immune system/hydrolase	06/18/14	Structure of a lysozyme antibody complex	HOMO SAPIENS; GALLUS GALLUS	homo sapiens	homo sapiens	gallus gallus	Wensley, B.	1.95	X-RAY DIFFRACTION	0.227	0.194	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
5t6l	A	B	0	G	protein	NA	10e8 epitope scaffold t117v2	IMMUNE SYSTEM	09/01/16	Crystal structure of 10E8 Fab in complex with the MPER epitope scaffold T117v2	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Irimia, A., Wilson, I.A.	2.1	X-RAY DIFFRACTION	0.218	0.178	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
5t6l	H	L	0	I	protein	NA	10e8 epitope scaffold t117v2	IMMUNE SYSTEM	09/01/16	Crystal structure of 10E8 Fab in complex with the MPER epitope scaffold T117v2	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	synthetic construct	Irimia, A., Wilson, I.A.	2.1	X-RAY DIFFRACTION	0.218	0.178	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
1fvd	D	C	0	NA	NA	NA	NA	IMMUNOGLOBULIN	10/20/92	X-RAY STRUCTURES OF THE ANTIGEN-BINDING DOMAINS FROM THREE VARIANTS OF HUMANIZED ANTI-P185-HER2 ANTIBODY 4D5 AND COMPARISON WITH MOLECULAR MODELING	HOMO SAPIENS	homo sapiens	homo sapiens		Eigenbrot, C., Presta, L., Randal, M., Kossiakoff, A.A.	2.5	X-RAY DIFFRACTION	unknown	0.179	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
1fvd	B	A	0	NA	NA	NA	NA	IMMUNOGLOBULIN	10/20/92	X-RAY STRUCTURES OF THE ANTIGEN-BINDING DOMAINS FROM THREE VARIANTS OF HUMANIZED ANTI-P185-HER2 ANTIBODY 4D5 AND COMPARISON WITH MOLECULAR MODELING	HOMO SAPIENS	homo sapiens	homo sapiens		Eigenbrot, C., Presta, L., Randal, M., Kossiakoff, A.A.	2.5	X-RAY DIFFRACTION	unknown	0.179	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
1fvc	D	C	0	NA	NA	NA	NA	IMMUNOGLOBULIN	10/20/92	X-RAY STRUCTURES OF THE ANTIGEN-BINDING DOMAINS FROM THREE VARIANTS OF HUMANIZED ANTI-P185-HER2 ANTIBODY 4D5 AND COMPARISON WITH MOLECULAR MODELING	HOMO SAPIENS	homo sapiens	homo sapiens		Eigenbrot, C., Randal, M., Kossiakoff, A.A., Presta, L.	2.2	X-RAY DIFFRACTION	unknown	0.183	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
1fvc	B	A	0	NA	NA	NA	NA	IMMUNOGLOBULIN	10/20/92	X-RAY STRUCTURES OF THE ANTIGEN-BINDING DOMAINS FROM THREE VARIANTS OF HUMANIZED ANTI-P185-HER2 ANTIBODY 4D5 AND COMPARISON WITH MOLECULAR MODELING	HOMO SAPIENS	homo sapiens	homo sapiens		Eigenbrot, C., Randal, M., Kossiakoff, A.A., Presta, L.	2.2	X-RAY DIFFRACTION	unknown	0.183	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
2pr4	H	L	0	NA	NA	NA	NA	VIRAL PROTEIN	05/03/07	Crystal Structure of Fab' from the HIV-1 Neutralizing Antibody 2F5	HOMO SAPIENS	homo sapiens	homo sapiens		Bryson, S., Julien, J.-P., Pai, E.F.	2.05	X-RAY DIFFRACTION	0.270	0.240	False	False	IGHV2	IGKV1	Kappa	None	None	None	None	None
4m1d	H	L	0	P	peptide	NA	cyclic v3 arch peptide	IMMUNE SYSTEM	08/02/13	Crystal structure of anti-HIV-1 Fab 447-52D in complex with V3 cyclic peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Killikelly, A., Kong, X.P.	1.8	X-RAY DIFFRACTION	0.216	0.186	False	True	IGHV3	IGLV1	Lambda	None	None	None
4m1d	I	M	0	Q	peptide	NA	cyclic v3 arch peptide	IMMUNE SYSTEM	08/02/13	Crystal structure of anti-HIV-1 Fab 447-52D in complex with V3 cyclic peptide MN	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Killikelly, A., Kong, X.P.	1.8	X-RAY DIFFRACTION	0.216	0.186	False	True	IGHV3	IGLV1	Lambda	None	None	None
5it2	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/16/16	Structure of a transglutaminase 2-specific autoantibody 693-10-B06 Fab fragment	HOMO SAPIENS	homo sapiens	homo sapiens		Chen, X., Dalhus, B., Hnida, K., Iversen, R., Sollid, L.M.	1.7	X-RAY DIFFRACTION	0.204	0.185	False	True	IGHV5	IGKV1	Kappa	None	None	None	None	None
5ijk	B	D	0	Y	peptide	NA	peptide pro-leu-gln-pro-glu-gln-pro-phe-pro	IMMUNE SYSTEM	03/02/16	Crystal structure of anti-gliadin 1002-1E03 Fab fragment in complex of peptide PLQPEQPFP	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	triticum aestivum	Chen, X., Zhao, Y., Harlos, K., Snir, O., Sollid, L.M.	2.5	X-RAY DIFFRACTION	0.265	0.209	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
5ijk	A	C	0	X	peptide	NA	peptide pro-leu-gln-pro-glu-gln-pro-phe-pro	IMMUNE SYSTEM	03/02/16	Crystal structure of anti-gliadin 1002-1E03 Fab fragment in complex of peptide PLQPEQPFP	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	triticum aestivum	Chen, X., Zhao, Y., Harlos, K., Snir, O., Sollid, L.M.	2.5	X-RAY DIFFRACTION	0.265	0.209	False	True	IGHV3	IGKV4	Kappa	None	None	None	None	None
4jzn	A	B	0	NA	NA	NA	NA	immune system/viral protein	04/03/13	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC84-1	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Krey, T., Rey, F.A.	2.05	X-RAY DIFFRACTION	0.235	0.198	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
4jzn	C	D	0	NA	NA	NA	NA	immune system/viral protein	04/03/13	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC84-1	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Krey, T., Rey, F.A.	2.05	X-RAY DIFFRACTION	0.235	0.198	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
4jzn	I	P	0	K	peptide	NA	envelope glycoprotein e2	immune system/viral protein	04/03/13	Three dimensional structure of broadly neutralizing human anti - Hepatitis C virus (HCV) glycoprotein E2 Fab fragment HC84-1	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	hepatitis c virus (isolate h)	Krey, T., Rey, F.A.	2.05	X-RAY DIFFRACTION	0.235	0.198	False	True	IGHV1	IGLV3	Lambda	None	None	None	None	None
4n0y	H	L	0	A	peptide	NA	hcv e1 peptide	IMMUNE SYSTEM	10/02/13	Structure of the Hepatitis C Envelope Glycoprotein E1 antigenic region 314-324 bound to the cross-neutralizing antibody IGH526	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	hepatitis c virus	Kong, L., Wilson, I.A.	1.749	X-RAY DIFFRACTION	0.210	0.179	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
5v7r	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/17	Cyrstal structure of anti-Tau antibody CBTAU-7.1 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Zhu, X., Zhang, H., Wilson, I.A.	2.3	X-RAY DIFFRACTION	0.224	0.171	False	True	IGHV3	IGKV3	Kappa	None	None	None	None	None
5v7u	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/17	Cyrstal structure of anti-Tau antibody CBTAU-22.1 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Zhu, X., Zhang, H., Wilson, I.A.	1.64	X-RAY DIFFRACTION	0.217	0.176	False	True	IGHV1	IGKV2	Kappa	None	None	None	None	None
5itb	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/16/16	Crystal structure of the anti-RSV F Fab 14N4	HOMO SAPIENS	homo sapiens	homo sapiens		Mousa, J.J., Crowe, J.E.	2.0	X-RAY DIFFRACTION	0.214	0.194	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
4g5z	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	07/18/12	Crystal structure of the therapeutical antibody fragment of canakinumab in its unbound state		homo sapiens	homo sapiens		Blech, M., Hoerer, S.	1.83	X-RAY DIFFRACTION	0.222	0.193	False	True	IGHV3	IGKV1	Kappa	None	None	None	None	None
3skj	H	L	0	E	protein	NA	ephrin type-a receptor 2	IMMUNE SYSTEM	06/22/11	Structural And Functional Characterization of an Agonistic Anti-Human EphA2 Monoclonal Antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Oganesyan, V.Y., Wu, H., Dall'Acqua, W.F.	2.5	X-RAY DIFFRACTION	0.271	0.216	False	True	IGHV3	IGKV1	Kappa	8.10E-10	-12.4	SPR	NA	21867711
3skj	I	M	0	F	protein	NA	ephrin type-a receptor 2	IMMUNE SYSTEM	06/22/11	Structural And Functional Characterization of an Agonistic Anti-Human EphA2 Monoclonal Antibody	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Oganesyan, V.Y., Wu, H., Dall'Acqua, W.F.	2.5	X-RAY DIFFRACTION	0.271	0.216	False	True	IGHV3	IGKV1	Kappa	8.10E-10	-12.4	SPR	NA	21867711
5hhv	H	L	0	A	protein	NA	interleukin-17a	IMMUNE SYSTEM/INHIBITOR	01/11/16	Inhibiting complex IL-17A and IL-17RA interactions with a linear peptide	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens	homo sapiens	Liu, S.	2.2	X-RAY DIFFRACTION	0.236	0.198	False	True	IGHV3	IGLV6	Lambda	None	None	None	None	None
4yaq	A	B	0	B	carbohydrate	NAG	polysaccharide	IMMUNE SYSTEM	02/17/15	Crystal structure of a computationally optimized PG9 mutant	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Murrell, S., Julien, J.P., Wilson, I.A.	2.3	X-RAY DIFFRACTION	0.238	0.204	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
4yaq	H	L	0	L	carbohydrate	NAG	polysaccharide	IMMUNE SYSTEM	02/17/15	Crystal structure of a computationally optimized PG9 mutant	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Murrell, S., Julien, J.P., Wilson, I.A.	2.3	X-RAY DIFFRACTION	0.238	0.204	False	True	IGHV3	IGLV2	Lambda	None	None	None	None	None
3kdm	H	L	0	H	Hapten	TES	TESTOSTERONE	IMMUNE SYSTEM	10/23/09	Crystal Structure of Human Anti-steroid Fab 5F2 in Complex with Testosterone	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Niemi, M.H., Rouvinen, J.	1.5	X-RAY DIFFRACTION	0.208	0.180	True	True	IGHV3	IGKV1	Kappa	1.00E-07	-9.54	Other	25	21360611
3kdm	B	A	0	B	Hapten	TES	TESTOSTERONE	IMMUNE SYSTEM	10/23/09	Crystal Structure of Human Anti-steroid Fab 5F2 in Complex with Testosterone	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Niemi, M.H., Rouvinen, J.	1.5	X-RAY DIFFRACTION	0.208	0.180	True	True	IGHV3	IGKV1	Kappa	1.00E-07	-9.54	Other	25	21360611
4qci	B	A	0	D	protein	NA	platelet-derived growth factor subunit b	CYTOKINE/CYTOKINE RECEPTOR	05/12/14	PDGF-B blocking antibody bound to PDGF-BB	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kuai, J., Mosyak, L., Tam, M., LaVallie, E., Pullen, N., Carven, G.	2.3	X-RAY DIFFRACTION	0.247	0.211	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
4qci	H	L	0	C	protein	NA	platelet-derived growth factor subunit b	CYTOKINE/CYTOKINE RECEPTOR	05/12/14	PDGF-B blocking antibody bound to PDGF-BB	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Kuai, J., Mosyak, L., Tam, M., LaVallie, E., Pullen, N., Carven, G.	2.3	X-RAY DIFFRACTION	0.247	0.211	False	True	IGHV3	IGLV3	Lambda	None	None	None	None	None
3h0t	B	A	0	C	peptide	NA	hepcidin	IMMUNE SYSTEM/Antimicrobial Protein	04/10/09	Hepcidin-Fab complex	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Syed, R., Li, V.	1.89	X-RAY DIFFRACTION	0.251	0.202	False	True	IGHV6	IGLV6	Lambda	None	None	None	None	None
5tpp	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/20/16	Crystal Structure of DH270.5 (unliganded) from the DH270 Broadly Neutralizing N332-glycan Dependent Lineage	HOMO SAPIENS	homo sapiens	homo sapiens		Fera, D., Harrison, S.C.	1.85	X-RAY DIFFRACTION	0.212	0.179	False	True	IGHV1	IGLV2	Lambda	None	None	None	None	None
4dtg	H	L	0	K	protein	NA	tissue factor pathway inhibitor	BLOOD CLOTTING INHIBITOR/IMMUNE SYSTEM	02/21/12	Hemostatic effect of a monoclonal antibody mAb 2021 blocking the interaction between FXa and TFPI in a rabbit hemophilia model	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Svensson, L.A., Breinholt, J., Krogh, B.O., Hilden, I.	1.8	X-RAY DIFFRACTION	0.236	0.196	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
3w9e	A	B	0	C	protein	NA	envelope glycoprotein d	VIRAL PROTEIN/IMMUNE SYSTEM	04/03/13	Structure of Human Monoclonal Antibody E317 Fab Complex with HSV-2 gD	HOMO SAPIENS; HUMAN HERPESVIRUS 2	homo sapiens	homo sapiens	human herpesvirus 2	Lee, C.C., Lin, L.L., Wang, A.H.J.	2.3	X-RAY DIFFRACTION	0.255	0.203	False	True	IGHV1	IGKV3	Kappa	None	None	None
4hjg	B	A	0	H | E	protein | protein	NA | NA	immunoglobulin g-binding protein a | protein l fragment	immune system	10/12/12	Meditope-enabled trastuzumab	HOMO SAPIENS; STAPHYLOCOCCUS AUREUS; FINEGOLDIA MAGNA	homo sapiens	homo sapiens	staphylococcus aureus | finegoldia magna	Donaldson, J.M., Zer, C., Avery, K.N., Bzymek, K.P., Horne, D.A., Williams, J.C.	2.0	X-RAY DIFFRACTION	0.195	0.153	False	True	IGHV3	IGKV1	Kappa	None	None	None
4hjj	H	NA	0	A	protein	NA	interleukin-18	IMMUNE SYSTEM	10/12/12	Structure Reveals Function of the Dual Variable Domain Immunoglobulin (DVD-Ig) Molecule	HOMO SAPIENS	homo sapiens		homo sapiens	Jakob, C.G., Edalji, R., Judge, R.A., DiGiammarino, E., Li, Y., Gu, J., Ghayur, T.	2.1	X-RAY DIFFRACTION	0.220	0.184	False	True	IGHV2	NA	NA	None	None	None	None	None
4hjj	NA	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	10/12/12	Structure Reveals Function of the Dual Variable Domain Immunoglobulin (DVD-Ig) Molecule	HOMO SAPIENS		homo sapiens		Jakob, C.G., Edalji, R., Judge, R.A., DiGiammarino, E., Li, Y., Gu, J., Ghayur, T.	2.1	X-RAY DIFFRACTION	0.220	0.184	False	True	NA	IGKV3	Kappa	None	None	None	None	None
3qcu	I	M	0	I	Hapten	NKN	(2R)-2-HYDROXY-3-(PHOSPHONOOXY)PROPYL TETRADECANOATE	IMMUNE SYSTEM	01/17/11	Crystal structure of the LT3015 antibody Fab fragment in complex with lysophosphatidic acid (14:0)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Fleming, J.K., Wojciak, J.M., Campbell, M.-A., Huxford, T.	1.979	X-RAY DIFFRACTION	0.252	0.222	False	True	IGHV5	IGKV2D	Kappa	None	None	None	None	None
3qcu	H	L	0	H	Hapten	NKN	(2R)-2-HYDROXY-3-(PHOSPHONOOXY)PROPYL TETRADECANOATE	IMMUNE SYSTEM	01/17/11	Crystal structure of the LT3015 antibody Fab fragment in complex with lysophosphatidic acid (14:0)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Fleming, J.K., Wojciak, J.M., Campbell, M.-A., Huxford, T.	1.979	X-RAY DIFFRACTION	0.252	0.222	False	True	IGHV5	IGKV2D	Kappa	None	None	None	None	None
3qct	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	01/17/11	Crystal structure of the humanized apo LT3015 anti-lysophosphatidic acid antibody Fab fragment	HOMO SAPIENS	homo sapiens	homo sapiens		Fleming, J.K., Wojciak, J.M., Campbell, M.-A., Huxford, T.	2.1493	X-RAY DIFFRACTION	0.287	0.238	False	True	IGHV5	IGKV2D	Kappa	None	None	None	None	None
3gbn	H	L	0	B | A	protein | protein	NA | NA	hemagglutinin | hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	02/20/09	Crystal Structure of Fab CR6261 in Complex with the 1918 H1N1 influenza virus hemagglutinin	INFLUENZA A VIRUS (A/BREVIG MISSION/1/1918(H1N1)); HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus (a/brevigmission/1/1918(h1n1))  | influenza a virus (a/brevigmission/1/1918(h1n1)) 	Ekiert, D.C., Elsliger, M.A., Wilson, I.A.	2.2	X-RAY DIFFRACTION	0.241	0.205	False	True	IGHV1	IGLV1	Lambda	None	None	None
3qcv	I	M	0	I	Hapten	18L	(2R)-2-HYDROXY-3-(PHOSPHONOOXY)PROPYL (9Z,12Z)-OCTADECA-9,12-DIENOATE	IMMUNE SYSTEM	01/17/11	Crystal structure of the LT3015 antibody Fab fragment in complex with lysophosphatidic acid (18:2)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Fleming, J.K., Wojciak, J.M., Campbell, M.-A., Huxford, T.	2.51	X-RAY DIFFRACTION	0.266	0.215	False	True	IGHV5	IGKV2D	Kappa	None	None	None	None	None
3qcv	H	L	0	H	Hapten	18L	(2R)-2-HYDROXY-3-(PHOSPHONOOXY)PROPYL (9Z,12Z)-OCTADECA-9,12-DIENOATE	IMMUNE SYSTEM	01/17/11	Crystal structure of the LT3015 antibody Fab fragment in complex with lysophosphatidic acid (18:2)	HOMO SAPIENS	homo sapiens	homo sapiens	homo sapiens	Fleming, J.K., Wojciak, J.M., Campbell, M.-A., Huxford, T.	2.51	X-RAY DIFFRACTION	0.266	0.215	False	True	IGHV5	IGKV2D	Kappa	None	None	None	None	None
5f7e	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	12/08/15	Crystal structure of germ-line precursor of 3BNC60 Fab	HOMO SAPIENS	homo sapiens	homo sapiens		Sievers, S.A., Scharf, L., Jiang, S., Bjorkman, P.J.	1.9	X-RAY DIFFRACTION	0.214	0.199	False	True	IGHV1	IGKV1	Kappa	None	None	None	None	None
4ttd	H	L	0	A	protein	NA	lysozyme c	IMMUNE SYSTEM	06/20/14	Structure of a lysozyme antibody complex	HOMO SAPIENS; GALLUS GALLUS	homo sapiens	homo sapiens	gallus gallus	Wensley, B.	2.15	X-RAY DIFFRACTION	0.279	0.255	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
4ttd	C	D	0	B	protein	NA	lysozyme c	IMMUNE SYSTEM	06/20/14	Structure of a lysozyme antibody complex	HOMO SAPIENS; GALLUS GALLUS	homo sapiens	homo sapiens	gallus gallus	Wensley, B.	2.15	X-RAY DIFFRACTION	0.279	0.255	False	True	IGHV3	IGLV1	Lambda	None	None	None	None	None
2zkh	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/21/08	Human thrombopoietin neutralizing antibody TN1 FAB	HOMO SAPIENS	homo sapiens	homo sapiens		Arai, S., Tamada, T., Honjo, E., Maeda, Y., Kuroki, R.	2.04	X-RAY DIFFRACTION	0.232	0.193	False	True	IGHV6	IGKV4	Kappa	None	None	None	None	None
5ewi	H	L	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/20/15	Crystal Structure of the Human Fab VRC38.01, an HIV-1 V1V2-Directed Neutralizing Antibody Isolated from Donor N90		homo sapiens	homo sapiens		Gorman, J., Kwong, P.D.	1.5996	X-RAY DIFFRACTION	0.202	0.173	False	True	IGHV3	IGKV2	Kappa	None	None	None	None	None
3idi	B	A	0	C	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM	07/21/09	Crystal structure of the HIV-1 Cross Neutralizing Monoclonal Antibody 2F5 Fab' fragment in complex with gp41 Peptide ALDKWNQ	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Julien, J.-P., Bryson, S., Pai, E.F.	2.1	X-RAY DIFFRACTION	0.230	0.212	False	False	IGHV2	IGKV1	Kappa	None	None	None	None	None
3idj	B	A	0	C	peptide	NA	gp41 mper peptide analog	IMMUNE SYSTEM	07/21/09	Crystal structure of the HIV-1 Cross Neutralizing Monoclonal Antibody 2F5 Fab' fragment in complex with gp41 Peptide analog ELD(Orn)WAS	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Julien, J.-P., Bryson, S., Pai, E.F.	2.24	X-RAY DIFFRACTION	0.229	0.229	False	False	IGHV2	IGKV1	Kappa	None	None	None	None	None
3idg	B	A	0	C	peptide	NA	gp41 mper peptide	IMMUNE SYSTEM	07/21/09	Crystal structure of the HIV-1 Cross Neutralizing Monoclonal Antibody 2F5 in complex with gp41 Peptide ALDKWD	HOMO SAPIENS; SYNTHETIC CONSTRUCT	homo sapiens	homo sapiens		Julien, J.P., Bryson, S., Pai, E.F.	1.86	X-RAY DIFFRACTION	0.227	0.224	False	False	IGHV2	IGKV1	Kappa	None	None	None	None	None
